
time 00h 01m 00s, episodes 3114, frames 0.1M, mean epr -9.34, run loss 0.00
time 00h 02m 00s, episodes 6064, frames 0.3M, mean epr -9.21, run loss 0.00
time 00h 03m 46s, episodes 7268, frames 0.3M, mean epr -9.89, run loss 0.00
time 00h 06m 16s, episodes 7268, frames 0.3M, mean epr -9.89, run loss 0.00
time 00h 07m 49s, episodes 7268, frames 0.3M, mean epr -9.89, run loss 0.00
time 00h 08m 52s, episodes 7269, frames 0.3M, mean epr -9.89, run loss 0.00
time 00h 13m 49s, episodes 7270, frames 0.3M, mean epr -9.89, run loss 0.00
time 00h 18m 46s, episodes 7270, frames 0.3M, mean epr -9.89, run loss 0.00
time 00h 22m 22s, episodes 7271, frames 0.3M, mean epr -9.89, run loss 0.00
time 00h 24m 22s, episodes 7272, frames 0.3M, mean epr -9.89, run loss 0.00
time 00h 25m 42s, episodes 7272, frames 0.3M, mean epr -9.89, run loss 0.00
time 00h 27m 55s, episodes 7272, frames 0.3M, mean epr -9.89, run loss 0.00
time 00h 31m 12s, episodes 7273, frames 0.3M, mean epr -9.89, run loss 0.00
time 00h 35m 42s, episodes 7273, frames 0.3M, mean epr -9.89, run loss 0.00
time 00h 39m 10s, episodes 7274, frames 0.3M, mean epr -9.90, run loss 0.00
time 00h 44m 35s, episodes 7275, frames 0.3M, mean epr -9.90, run loss 0.00
time 00h 45m 45s, episodes 7276, frames 0.3M, mean epr -9.90, run loss 0.00
time 00h 46m 55s, episodes 7276, frames 0.3M, mean epr -9.90, run loss 0.00
time 00h 48m 33s, episodes 7277, frames 0.3M, mean epr -9.90, run loss 0.00
time 00h 50m 16s, episodes 7277, frames 0.3M, mean epr -9.90, run loss 0.00
time 00h 51m 46s, episodes 7279, frames 0.3M, mean epr -9.90, run loss 0.00
time 00h 55m 38s, episodes 7279, frames 0.3M, mean epr -9.90, run loss 0.00
time 01h 00m 09s, episodes 7279, frames 0.3M, mean epr -9.90, run loss 0.00
time 01h 01m 38s, episodes 7279, frames 0.3M, mean epr -9.90, run loss 0.00
time 01h 02m 40s, episodes 7281, frames 0.3M, mean epr -9.90, run loss 0.00
time 01h 03m 42s, episodes 7284, frames 0.3M, mean epr -9.71, run loss 0.00
time 01h 04m 45s, episodes 7284, frames 0.3M, mean epr -9.71, run loss 0.00
time 01h 05m 55s, episodes 8556, frames 0.4M, mean epr -9.53, run loss 0.00
